#
# Word list for the Stendhal conversation parser
# @author Martin Fuchs
#
# The list entries are in the following format:
#  WORD	 TYPE	[PLURAL/VALUE]
#
# WORD is the word in lower case.
# PLURAL is the pluralised form of the word for nouns and verbs.
# VALUE is used to specify the numeric equivalent of numeric expressions.
#
# TYPE is one of the following constants:
#
#  VER			verb
#
#  NOU			noun
#  NOU-AMO		noun specifying amount
#  NOU-ANI		noun, animal
#  NOU-FOO		noun, food
#  NOU-FLU		noun, fluid
#  NOU-PER		person
#  NOU-PER-NAM	person name
#
#  ADJ			adjective/adverb
#  ADJ-COL		color expressions
#
#  NUM			numeral
#  PRE			preposition
#  IGN			word to ignore
#

buy	VER
close	VER
drop	VER
give	VER
go	VER
hold	VER
mummy	NOU	mummies
mushroom	NOU-FOO	mushrooms
noose	NOU	nooses
note	NOU	notes
nugget	NOU	nuggets
ogre	NOU	ogres
orc	NOU	orcs
ore	NOU	ores
pair	NOU	pairs
paper	NOU	papers
penguin	NOU-ANI	penguins
pie	NOU-FOO	pies
piece	NOU	pieces
plate	NOU	plates
player	NOU-PER	players
plural	NOU	plurals
poison	NOU-FLU	poisons
porcini	NOU-FOO	porcini
potion	NOU-FLU	potions
present	NOU	presents
princess	NOU	princesses
rat	NOU-ANI	rats
ratman	NOU-PER	ratmen
ratwoman	NOU-PER	ratwomen
razorrat	NOU-ANI	razorrats
robin	NOU	robins
rod	NOU	rods
sacerdotist	NOU	sacerdotists
sack	NOU-AMO	sacks
salad	NOU	salads
sandwich	NOU	sandwiches
scale	NOU	scales
scimitar	NOU	scimitars
scroll	NOU	scrolls
scythe	NOU	scythes
she	NOU-PER	they
sheaf	NOU-AMO	sheaves
shield	NOU	shields
silver	NOU	silvers
skeleton	NOU	skeletons
skull	NOU	skulls
slime	NOU	slimes
sodium	NOU	sodia
soldier	NOU-PER	soldiers
sprig	NOU-AMO	sprigs
staff	NOU	staffs
steel	NOU	steels
stone	NOU	stones
suit	NOU	suits
suits	NOU	suits
sun	NOU	suns
sword	NOU	swords
teddy	NOU	teddies
tiger	NOU-ANI	tigers
toadstool	NOU	toadstools
token	NOU	tokens
tomato	NOU-FOO	tomatoes
tooth	NOU	teeth
troll	NOU-PER	trolls
trophy	NOU	trophies
trousers	NOU	trousers
unicorn	NOU-ANI	unicorns
vegetarian	NOU-PER	vegetarians
venom	NOU	venoms
venomrat	NOU-ANI	venomrats
vertex	NOU	vertices
veteran	NOU-PER	veterans
viking	NOU-PER	vikings
vortex	NOU	vortices
war	NOU	wars
warrior	NOU-PER	warriors
water	NOU-FLU	waters
wine	NOU-FLU
wolf	NOU	wolves
woman	NOU-PER	women
wood	NOU	woods
wumpus	NOU-PER	wumpuses
yclept	NOU	yclepts
you	NOU-PER	you
youngster	NOU	youngsters
zombie	NOU-PER	zombies

big	ADJ
biting	ADJ
black	ADJ-COL
blue	ADJ-COL
deadly	ADJ
elder	ADJ
empty	ADJ
golden	ADJ-COL
great	ADJ
greater	ADJ
green	ADJ-COL
leather	ADJ
marked	ADJ
minor	ADJ
old	ADJ
red	ADJ-COL
royal	ADJ
short	ADJ
silvery	ADJ-COL
small	ADJ
studded	ADJ
twoside	ADJ
white	ADJ-COL
wooden	ADJ
young	ADJ

a	NUM	1
an	NUM	1
eight	NUM	8
eighteen	NUM	18
eighty	NUM	80
eleven	NUM	11
fifteen	NUM	15
fifty	NUM	50
first	NUM	1
five	NUM	5
four	NUM	4
fourteen	NUM	14
fourty	NUM	40
hundred	NUM	100
million	NUM	1000000
nine	NUM	9
nineteen	NUM	19
ninety	NUM	90
no	NUM	0
one	NUM	1
second	NUM	2
seven	NUM	7
seventeen	NUM	17
seventy	NUM	70
six	NUM	6
sixteen	NUM	16
sixty	NUM	60
ten	NUM	10
third	NUM	3
thirteen	NUM	13
thirty	NUM	30
thousand	NUM	1000
three	NUM	3
twelve	NUM	12
twenty	NUM	20
two	NUM	2
zero	NUM	0

of	PRE
off	PRE
on	PRE
under	PRE
with	PRE

please	IGN
the	IGN
whatever	IGN

